county,date,log_popdens,log_case_rate,prev_rt,rt_trend,order_closure,del_order_closure,del_rt
Orange,2020-05-02,3.581,-3.45614,1.06950,-0.00940,8,2,-0.0265
Orange,2020-05-09,3.581,-3.34499,1.07760,0.00810,7,-1,0.0014
Orange,2020-05-16,3.581,-3.28933,1.06920,-0.00840,7,0,0.0384
Orange,2020-05-23,3.581,-3.25311,1.04910,-0.02010,4,-3,0.0880
Orange,2020-05-30,3.581,-3.22150,1.04530,-0.00380,3,-1,0.1253
Orange,2020-06-06,3.581,-3.15003,1.05160,0.00630,3,0,0.0784
Orange,2020-06-13,3.581,-3.14424,1.08890,0.03730,0,-3,-0.0642
Orange,2020-06-20,3.581,-3.08464,1.15130,0.06240,0,0,-0.1849
Orange,2020-06-27,3.581,-2.87390,1.21140,0.06010,0,0,-0.1963
Orange,2020-07-04,3.581,-2.55310,1.21950,0.00810,3,3,-0.1211
Orange,2020-07-11,3.581,-2.45642,1.13580,-0.08370,4,1,-0.0369
Orange,2020-07-18,3.581,-2.49085,1.02410,-0.11170,7,3,0.0081
Orange,2020-07-25,3.581,-2.48792,0.94360,-0.08050,7,0,0.0026
Orange,2020-08-01,3.581,-2.60579,0.90660,-0.03700,7,0,-0.0130
Orange,2020-08-08,3.581,-2.78959,0.91210,0.00550,7,0,-0.0276
Orange,2020-08-15,3.581,-2.68393,0.92180,0.00970,7,0,-0.0294
Orange,2020-08-22,3.581,-2.67142,0.91300,-0.00880,7,0,-0.0014
Orange,2020-08-29,3.581,-2.81579,0.90730,-0.00570,7,0,0.0487
Orange,2020-09-05,3.581,-2.82720,0.88460,-0.02270,5,-2,0.0716
Orange,2020-09-12,3.581,-2.92554,0.87310,-0.01150,3,-2,0.0605
Orange,2020-09-19,3.581,-3.07358,0.88800,0.01490,3,0,0.0400
Orange,2020-09-26,3.581,-3.08564,0.92830,0.04030,3,0,0.0381
Orange,2020-10-03,3.581,-3.06136,0.96110,0.03280,3,0,0.0632
Orange,2020-10-10,3.581,-3.06807,0.98820,0.02710,3,0,0.0841
Orange,2020-10-17,3.581,-3.09359,0.99830,0.01010,3,0,0.0806
Orange,2020-10-24,3.581,-3.02797,1.02910,0.03080,3,0,0.0596
Orange,2020-10-31,3.581,-2.96904,1.06320,0.03410,3,0,0.0450
Orange,2020-11-07,3.581,-2.94112,1.11240,0.04920,3,0,0.0209
Orange,2020-11-14,3.581,-2.80521,1.14390,0.03150,3,0,-0.0091
Orange,2020-11-21,3.581,-2.61807,1.17300,0.02910,4,1,-0.0282
Orange,2020-11-28,3.581,-2.41023,1.18520,0.01220,4,0,-0.0287
Los Angeles,2020-05-03,3.384,-2.88003,0.95250,-0.09020,9,0,0.1040
Los Angeles,2020-05-10,3.384,-2.92003,0.92250,-0.03000,7,-2,0.0478
Los Angeles,2020-05-17,3.384,-2.91424,0.96210,0.03960,6,-1,0.0052
Los Angeles,2020-05-24,3.384,-2.88036,1.02430,0.06220,6,0,0.0025
Los Angeles,2020-05-31,3.384,-2.77356,1.06160,0.03730,3,-3,0.0102
Los Angeles,2020-06-07,3.384,-2.72912,1.07330,0.01170,3,0,-0.0042
Los Angeles,2020-06-14,3.384,-2.74876,1.06140,-0.01190,1,-2,-0.0584
Los Angeles,2020-06-21,3.384,-2.71335,1.06850,0.00710,0,-1,-0.1028
Los Angeles,2020-06-28,3.384,-2.60879,1.08750,0.01900,1,1,-0.0800
Los Angeles,2020-07-05,3.384,-2.50494,1.06510,-0.02240,2,1,-0.0232
Los Angeles,2020-07-12,3.384,-2.45245,1.01510,-0.05000,3,1,0.0023
Los Angeles,2020-07-19,3.384,-2.39291,0.95880,-0.05630,7,4,-0.0022
Los Angeles,2020-07-26,3.384,-2.39769,0.93170,-0.02710,7,0,-0.0197
Los Angeles,2020-08-02,3.384,-2.44490,0.94000,0.00830,7,0,-0.0211
Los Angeles,2020-08-09,3.384,-2.46633,0.93680,-0.00320,7,0,-0.0048
Los Angeles,2020-08-16,3.384,-2.53060,0.93650,-0.00030,7,0,0.0059
Los Angeles,2020-08-23,3.384,-2.63970,0.92340,-0.01310,7,0,0.0243
Los Angeles,2020-08-30,3.384,-2.73043,0.91110,-0.01230,7,0,0.0340
Los Angeles,2020-09-06,3.384,-2.78344,0.91130,0.00020,6,-1,0.0342
Los Angeles,2020-09-13,3.384,-2.88281,0.92320,0.01190,6,0,0.0373
Los Angeles,2020-09-20,3.384,-2.90894,0.93910,0.01590,6,0,0.0380
Los Angeles,2020-09-27,3.384,-2.86419,0.95490,0.01580,6,0,0.0481
Los Angeles,2020-10-04,3.384,-2.86570,0.97830,0.02340,6,0,0.0790
Los Angeles,2020-10-11,3.384,-2.84820,0.99290,0.01460,6,0,0.0760
Los Angeles,2020-10-18,3.384,-2.86199,1.01230,0.01940,6,0,0.0552
Los Angeles,2020-10-25,3.384,-2.75844,1.04490,0.03260,6,0,0.0499
Los Angeles,2020-11-01,3.384,-2.68778,1.09440,0.04950,6,0,0.0366
Los Angeles,2020-11-08,3.384,-2.65198,1.12260,0.02820,6,0,0.0043
Los Angeles,2020-11-15,3.384,-2.52098,1.14610,0.02350,6,0,-0.0409
Los Angeles,2020-11-22,3.384,-2.37790,1.16720,0.02110,6,0,-0.0367
Los Angeles,2020-11-29,3.384,-2.25393,1.18480,0.01760,6,0,-0.0020
Santa Clara,2020-05-03,3.140,-3.72380,0.78380,0.00560,7,0,0.1640
Santa Clara,2020-05-10,3.140,-3.87477,0.84890,0.06510,6,-1,0.1241
Santa Clara,2020-05-17,3.140,-3.93496,0.95130,0.10240,6,0,0.1039
Santa Clara,2020-05-24,3.140,-3.83727,1.03780,0.08650,5,-1,0.1219
Santa Clara,2020-05-31,3.140,-3.77211,1.11170,0.07390,5,0,0.0794
Santa Clara,2020-06-07,3.140,-3.76943,1.15520,0.04350,0,-5,-0.0203
Santa Clara,2020-06-14,3.140,-3.65703,1.21460,0.05940,0,0,-0.1068
Santa Clara,2020-06-21,3.140,-3.49956,1.27950,0.06490,0,0,-0.1561
Santa Clara,2020-06-28,3.140,-3.29678,1.29540,0.01590,0,0,-0.1455
Santa Clara,2020-07-05,3.140,-3.04427,1.25260,-0.04280,3,3,-0.1152
Santa Clara,2020-07-12,3.140,-2.95171,1.17480,-0.07780,3,0,-0.0974
Santa Clara,2020-07-19,3.140,-2.94226,1.09280,-0.08200,7,4,-0.0750
Santa Clara,2020-07-26,3.140,-2.84309,1.03160,-0.06120,7,0,-0.0473
Santa Clara,2020-08-02,3.140,-2.78025,0.97980,-0.05180,7,0,-0.0243
Santa Clara,2020-08-09,3.140,-2.81697,0.93670,-0.04310,7,0,0.0065
Santa Clara,2020-08-16,3.140,-2.70119,0.90830,-0.02840,7,0,0.0324
Santa Clara,2020-08-23,3.140,-2.70914,0.89170,-0.01660,7,0,0.0416
Santa Clara,2020-08-30,3.140,-2.86902,0.88150,-0.01020,7,0,0.0476
Santa Clara,2020-09-06,3.140,-2.81548,0.90080,0.01930,5,-2,0.0378
Santa Clara,2020-09-13,3.140,-2.87716,0.92140,0.02060,4,-1,0.0379
Santa Clara,2020-09-20,3.140,-3.02628,0.94080,0.01940,4,0,0.0477
Santa Clara,2020-09-27,3.140,-3.07611,0.96540,0.02460,4,0,0.0538
Santa Clara,2020-10-04,3.140,-3.12598,0.97950,0.01410,4,0,0.0640
Santa Clara,2020-10-11,3.140,-3.13456,1.00430,0.02480,4,0,0.0633
Santa Clara,2020-10-18,3.140,-3.14018,1.02460,0.02030,2,-2,0.0574
Santa Clara,2020-10-25,3.140,-3.08019,1.05930,0.03470,2,0,0.0397
Santa Clara,2020-11-01,3.140,-2.99914,1.08980,0.03050,2,0,0.0198
Santa Clara,2020-11-08,3.140,-2.91098,1.12400,0.03420,2,0,-0.0032
Santa Clara,2020-11-15,3.140,-2.78053,1.14710,0.02310,2,0,-0.0292
Santa Clara,2020-11-22,3.140,-2.65951,1.16260,0.01550,4,2,-0.0580
Santa Clara,2020-11-29,3.140,-2.50425,1.16190,-0.00070,4,0,-0.0790
San Francisco,2020-05-04,4.235,-3.26178,0.83810,-0.02050,7,-1,0.1083
San Francisco,2020-05-11,4.235,-3.21237,0.87110,0.03300,7,0,0.0847
San Francisco,2020-05-18,4.235,-3.29024,0.90910,0.03800,6,-1,0.0329
San Francisco,2020-05-25,4.235,-3.30116,0.96440,0.05530,5,-1,0.0280
San Francisco,2020-06-01,4.235,-3.29517,1.01590,0.05150,5,0,0.0737
San Francisco,2020-06-08,4.235,-3.34225,1.04330,0.02740,5,0,0.0604
San Francisco,2020-06-15,4.235,-3.35458,1.03800,-0.00530,3,-2,-0.0194
San Francisco,2020-06-22,4.235,-3.32812,1.07470,0.03670,3,0,-0.0884
San Francisco,2020-06-29,4.235,-3.15203,1.12700,0.05230,3,0,-0.1160
San Francisco,2020-07-06,4.235,-3.02977,1.14780,0.02080,3,0,-0.0847
San Francisco,2020-07-13,4.235,-2.92423,1.09560,-0.05220,3,0,-0.0297
San Francisco,2020-07-20,4.235,-2.81838,1.03940,-0.05620,7,4,-0.0026
San Francisco,2020-07-27,4.235,-2.78070,0.97810,-0.06130,7,0,-0.0156
San Francisco,2020-08-03,4.235,-2.72955,0.95700,-0.02110,7,0,-0.0448
San Francisco,2020-08-10,4.235,-2.73225,0.95690,-0.00010,7,0,-0.0529
San Francisco,2020-08-17,4.235,-2.78131,0.95780,0.00090,7,0,-0.0228
San Francisco,2020-08-24,4.235,-2.81838,0.93420,-0.02360,7,0,0.0141
San Francisco,2020-08-31,4.235,-2.87670,0.90820,-0.02600,6,-1,0.0289
San Francisco,2020-09-07,4.235,-2.91836,0.88430,-0.02390,6,0,0.0329
San Francisco,2020-09-14,4.235,-2.99019,0.89130,0.00700,6,0,0.0419
San Francisco,2020-09-21,4.235,-3.01862,0.90370,0.01240,4,-2,0.0782
San Francisco,2020-09-28,4.235,-3.02442,0.92140,0.01770,4,0,0.1116
San Francisco,2020-10-05,4.235,-3.10863,0.93780,0.01640,4,0,0.1075
San Francisco,2020-10-12,4.235,-3.26363,0.96280,0.02500,3,-1,0.0758
San Francisco,2020-10-19,4.235,-3.31236,1.01730,0.05450,3,0,0.0452
