date,county,state,fips,cases,deaths,date_processed,total_pop,60plus_pop,pop_density,housing_density,county_name,order_closure,order_gath,order_lab,order_masks,order_quarres,order_quarvis,order_shome,order_bubble,Reff
2020-01-25,Orange,California,6059.0,1,0.0,0.0,3155816.0,598030.0,3807.7,1326.8,Orange County,,,,,,,,,1.5287
2020-01-26,Los Angeles,California,6037.0,1,0.0,1.0,10105722.0,1800341.0,2419.6,849.0,Los Angeles County,,,,,,,,,
2020-01-26,Orange,California,6059.0,1,0.0,1.0,3155816.0,598030.0,3807.7,1326.8,Orange County,,,,,,,,,1.5352
2020-01-27,Los Angeles,California,6037.0,1,0.0,2.0,10105722.0,1800341.0,2419.6,849.0,Los Angeles County,,,,,,,,,
2020-01-27,Orange,California,6059.0,1,0.0,2.0,3155816.0,598030.0,3807.7,1326.8,Orange County,,,,,,,,,1.5563
2020-01-28,Los Angeles,California,6037.0,1,0.0,3.0,10105722.0,1800341.0,2419.6,849.0,Los Angeles County,,,,,,,,,
2020-01-28,Orange,California,6059.0,1,0.0,3.0,3155816.0,598030.0,3807.7,1326.8,Orange County,,,,,,,,,1.5629
2020-01-29,Los Angeles,California,6037.0,1,0.0,4.0,10105722.0,1800341.0,2419.6,849.0,Los Angeles County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-01-29,Orange,California,6059.0,1,0.0,4.0,3155816.0,598030.0,3807.7,1326.8,Orange County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5636
2020-01-30,Los Angeles,California,6037.0,1,0.0,5.0,10105722.0,1800341.0,2419.6,849.0,Los Angeles County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-01-30,Orange,California,6059.0,1,0.0,5.0,3155816.0,598030.0,3807.7,1326.8,Orange County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5743
2020-01-31,Los Angeles,California,6037.0,1,0.0,6.0,10105722.0,1800341.0,2419.6,849.0,Los Angeles County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-01-31,Orange,California,6059.0,1,0.0,6.0,3155816.0,598030.0,3807.7,1326.8,Orange County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5949
2020-01-31,Santa Clara,California,6085.0,1,0.0,6.0,1911226.0,338720.0,1381.0,489.8,Santa Clara County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-01,Los Angeles,California,6037.0,1,0.0,7.0,10105722.0,1800341.0,2419.6,849.0,Los Angeles County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
