county,date,order_closure,order_gath,order_lab,order_masks,order_quarres,order_quarvis,order_shome,order_bubble
Alameda,2020-01-29,0,0,0,0,0,0,0,0
Alameda,2020-01-30,0,0,0,0,0,0,0,0
Alameda,2020-01-31,0,0,0,0,0,0,0,0
Alameda,2020-02-01,0,0,0,0,0,0,0,0
Alameda,2020-02-02,0,0,0,0,0,0,0,0
Alameda,2020-02-03,0,0,0,0,0,0,0,0
Alameda,2020-02-04,0,0,0,0,0,0,0,0
Alameda,2020-02-05,0,0,0,0,0,0,0,0
Alameda,2020-02-06,0,0,0,0,0,0,0,0
Alameda,2020-02-07,0,0,0,0,0,0,0,0
Alameda,2020-02-08,0,0,0,0,0,0,0,0
Alameda,2020-02-09,0,0,0,0,0,0,0,0
Alameda,2020-02-10,0,0,0,0,0,0,0,0
Alameda,2020-02-11,0,0,0,0,0,0,0,0
Alameda,2020-02-12,0,0,0,0,0,0,0,0
Alameda,2020-02-13,0,0,0,0,0,0,0,0
Alameda,2020-02-14,0,0,0,0,0,0,0,0
Alameda,2020-02-15,0,0,0,0,0,0,0,0
Alameda,2020-02-16,0,0,0,0,0,0,0,0
Alameda,2020-02-17,0,0,0,0,0,0,0,0
Alameda,2020-02-18,0,0,0,0,0,0,0,0
Alameda,2020-02-19,0,0,0,0,0,0,0,0
Alameda,2020-02-20,0,0,0,0,0,0,0,0
Alameda,2020-02-21,0,0,0,0,0,0,0,0
Alameda,2020-02-22,0,0,0,0,0,0,0,0
Alameda,2020-02-23,0,0,0,0,0,0,0,0
Alameda,2020-02-24,0,0,0,0,0,0,0,0
Alameda,2020-02-25,0,0,0,0,0,0,0,0
Alameda,2020-02-26,0,0,0,0,0,0,0,0
Alameda,2020-02-27,0,0,0,0,0,0,0,0
Alameda,2020-02-28,0,0,0,0,0,0,0,0
Alameda,2020-02-29,0,0,0,0,0,0,0,0
Alameda,2020-03-01,0,0,0,0,0,0,0,0
Alameda,2020-03-02,0,0,0,0,0,0,0,0
Alameda,2020-03-03,0,0,0,0,0,0,0,0
Alameda,2020-03-04,0,0,0,0,0,0,0,0
Alameda,2020-03-05,0,0,0,0,0,0,0,0
Alameda,2020-03-06,0,0,0,0,0,0,0,0
Alameda,2020-03-07,0,0,0,0,0,0,0,0
Alameda,2020-03-08,0,0,0,0,0,0,0,0
Alameda,2020-03-09,0,0,0,0,0,0,0,0
Alameda,2020-03-10,0,3,0,0,1,0,0,0
Alameda,2020-03-11,0,3,0,0,1,0,0,0
Alameda,2020-03-12,0,6,0,0,1,0,0,0
Alameda,2020-03-13,0,6,0,0,1,0,0,0
Alameda,2020-03-14,0,6,0,0,1,0,0,0
Alameda,2020-03-15,0,6,0,0,1,0,0,0
Alameda,2020-03-16,0,6,0,0,1,0,0,0
Alameda,2020-03-17,6,10,0,0,1,0,10,0
Alameda,2020-03-18,6,10,0,0,1,0,10,0
Alameda,2020-03-19,6,10,0,0,1,0,10,0
Alameda,2020-03-20,6,10,0,0,1,0,10,0
Alameda,2020-03-21,6,10,0,0,1,0,10,0
Alameda,2020-03-22,6,10,0,0,1,0,10,0
Alameda,2020-03-23,6,10,0,0,1,0,10,0
Alameda,2020-03-24,6,10,2,0,1,0,10,0
Alameda,2020-03-25,6,10,2,0,1,0,10,0
Alameda,2020-03-26,6,10,2,0,1,0,10,0
Alameda,2020-03-27,6,10,2,0,1,0,10,0
Alameda,2020-03-28,6,10,2,0,1,0,10,0
Alameda,2020-03-29,6,10,2,0,1,0,10,0
Alameda,2020-03-30,6,10,2,0,1,0,10,0
Alameda,2020-03-31,6,10,2,0,1,0,10,0
Alameda,2020-04-01,7,10,2,0,1,0,10,0
Alameda,2020-04-02,7,10,2,0,1,0,10,0
Alameda,2020-04-03,7,10,2,0,8,0,10,0
Alameda,2020-04-04,7,10,2,0,8,0,10,0
Alameda,2020-04-05,7,10,2,0,8,0,10,0
Alameda,2020-04-06,7,10,2,0,8,0,10,0
Alameda,2020-04-07,7,10,2,0,8,0,10,0
Alameda,2020-04-08,7,10,2,0,8,0,10,0
Alameda,2020-04-09,7,10,2,0,8,0,10,0
Alameda,2020-04-10,7,10,2,0,8,0,10,0
Alameda,2020-04-11,7,10,2,0,8,0,10,0
Alameda,2020-04-12,7,10,2,0,8,0,10,0
Alameda,2020-04-13,7,10,2,0,8,0,10,0
Alameda,2020-04-14,7,10,2,0,8,0,10,0
Alameda,2020-04-15,7,10,2,0,8,0,10,0
Alameda,2020-04-16,7,10,2,0,8,0,10,0
Alameda,2020-04-17,7,10,2,0,8,0,10,0
Alameda,2020-04-18,7,10,2,6,8,0,10,0
Alameda,2020-04-19,7,10,2,6,8,0,10,0
Alameda,2020-04-20,7,10,2,6,8,0,10,0
Alameda,2020-04-21,7,10,2,6,8,0,10,0
Alameda,2020-04-22,7,10,2,6,8,0,10,0
Alameda,2020-04-23,7,10,2,6,8,0,10,0
Alameda,2020-04-24,7,10,2,6,8,0,10,0
Alameda,2020-04-25,7,10,2,6,8,0,10,0
Alameda,2020-04-26,7,10,2,6,8,0,10,0
Alameda,2020-04-27,7,10,2,6,8,0,10,0
Alameda,2020-04-28,7,10,2,6,8,0,10,0
Alameda,2020-04-29,7,10,2,6,8,0,10,0
Alameda,2020-04-30,7,10,2,6,8,0,10,0
Alameda,2020-05-01,7,10,2,6,8,0,10,0
Alameda,2020-05-02,7,10,2,6,8,0,10,0
Alameda,2020-05-03,6,10,2,6,8,0,10,0
Alameda,2020-05-04,6,10,2,6,8,0,10,0
Alameda,2020-05-05,6,10,2,6,8,0,10,0
Alameda,2020-05-06,6,10,2,6,8,0,10,0
Alameda,2020-05-07,6,10,2,6,8,0,10,0
Alameda,2020-05-08,6,10,2,6,8,0,10,0
Alameda,2020-05-09,6,10,2,6,8,0,10,0
Alameda,2020-05-10,6,10,2,6,8,0,10,0
Alameda,2020-05-11,6,10,2,6,8,0,10,0
Alameda,2020-05-12,6,10,2,6,8,0,10,0
Alameda,2020-05-13,6,10,2,6,8,0,10,0
Alameda,2020-05-14,6,10,2,6,8,0,10,0
Alameda,2020-05-15,6,10,2,6,8,0,10,0
Alameda,2020-05-16,6,10,2,6,8,0,10,0
Alameda,2020-05-17,6,10,2,6,8,0,10,0
Alameda,2020-05-18,5,,2,6,8,0,0,0
Alameda,2020-05-19,5,,2,6,8,0,0,0
Alameda,2020-05-20,5,,2,6,8,0,0,0
Alameda,2020-05-21,5,,2,6,8,0,0,0
Alameda,2020-05-22,5,,2,6,8,0,0,0
Alameda,2020-05-23,5,,2,6,8,0,0,0
Alameda,2020-05-24,5,,2,6,8,0,0,0
Alameda,2020-05-25,5,,2,6,8,0,0,0
Alameda,2020-05-26,5,,2,6,8,0,0,0
Alameda,2020-05-27,5,,2,6,8,0,0,0
Alameda,2020-05-28,5,,2,6,8,0,0,0
Alameda,2020-05-29,5,,2,6,8,0,0,0
Alameda,2020-05-30,5,,2,6,8,0,0,0
Alameda,2020-05-31,5,,2,6,8,0,0,0
Alameda,2020-06-01,5,,2,6,8,0,0,0
Alameda,2020-06-02,5,,2,6,8,0,0,0
Alameda,2020-06-03,5,,2,6,8,0,0,0
Alameda,2020-06-04,5,,2,6,8,0,0,0
Alameda,2020-06-05,5,,2,6,8,0,0,0
Alameda,2020-06-06,5,,2,6,8,0,0,0
Alameda,2020-06-07,5,,2,6,8,0,0,0
Alameda,2020-06-08,4,,2,7,8,0,0,0
Alameda,2020-06-09,4,,2,7,8,0,0,0
Alameda,2020-06-10,4,,2,7,8,0,0,0
Alameda,2020-06-11,4,,2,7,8,0,0,0
Alameda,2020-06-12,4,,2,7,8,0,0,0
Alameda,2020-06-13,4,,2,7,8,0,0,0
Alameda,2020-06-14,4,,2,7,8,0,0,0
Alameda,2020-06-15,4,,2,7,8,0,0,0
Alameda,2020-06-16,4,,2,7,8,0,0,0
Alameda,2020-06-17,4,,2,7,8,0,0,0
Alameda,2020-06-18,3,,2,7,8,0,0,0
Alameda,2020-06-19,3,,2,7,8,0,0,0
Alameda,2020-06-20,3,,2,7,8,0,0,0
Alameda,2020-06-21,3,,2,7,8,0,0,0
Alameda,2020-06-22,3,,2,7,8,0,0,0
Alameda,2020-06-23,3,,2,7,8,0,0,0
Alameda,2020-06-24,3,,2,7,8,0,0,0
Alameda,2020-06-25,3,,2,7,8,0,0,0
Alameda,2020-06-26,3,,2,7,8,0,0,0
Alameda,2020-06-27,3,,2,7,8,0,0,0
Alameda,2020-06-28,3,,2,7,8,0,0,0
Alameda,2020-06-29,3,,2,7,8,0,0,0
Alameda,2020-06-30,3,,2,7,8,0,0,0
Alameda,2020-07-01,3,,2,7,8,0,0,0
Alameda,2020-07-02,3,,2,7,8,0,0,0
Alameda,2020-07-03,3,,2,7,8,0,0,0
Alameda,2020-07-04,3,,2,7,8,0,0,0
Alameda,2020-07-05,3,,2,7,8,0,0,0
Alameda,2020-07-06,3,,2,7,8,0,0,0
Alameda,2020-07-07,3,,2,7,8,0,0,0
Alameda,2020-07-08,3,,2,7,8,0,0,0
Alameda,2020-07-09,1,,2,7,8,0,0,0
Alameda,2020-07-10,1,,2,7,8,0,0,0
Alameda,2020-07-11,1,,2,7,8,0,0,0
Alameda,2020-07-12,1,,2,7,8,0,0,0
Alameda,2020-07-13,3,,2,7,8,0,0,0
