county,date,Reff
Orange,2020-01-15 00:00:00,1.4814
Orange,2020-01-16 00:00:00,1.4768
Orange,2020-01-17 00:00:00,1.4724
Orange,2020-01-18 00:00:00,1.4818
Orange,2020-01-19 00:00:00,1.4808
Orange,2020-01-20 00:00:00,1.4928
Orange,2020-01-21 00:00:00,1.5093
Orange,2020-01-22 00:00:00,1.5088
Orange,2020-01-23 00:00:00,1.5181
Orange,2020-01-24 00:00:00,1.5222
Orange,2020-01-25 00:00:00,1.5287
Orange,2020-01-26 00:00:00,1.5352
Orange,2020-01-27 00:00:00,1.5563
Orange,2020-01-28 00:00:00,1.5629
Orange,2020-01-29 00:00:00,1.5636
Orange,2020-01-30 00:00:00,1.5743
Orange,2020-01-31 00:00:00,1.5949
Orange,2020-02-01 00:00:00,1.6117
Orange,2020-02-02 00:00:00,1.6253
Orange,2020-02-03 00:00:00,1.6343
Orange,2020-02-04 00:00:00,1.6430
Orange,2020-02-05 00:00:00,1.6594
Orange,2020-02-06 00:00:00,1.6796
Orange,2020-02-07 00:00:00,1.6937
Orange,2020-02-08 00:00:00,1.7157
Orange,2020-02-09 00:00:00,1.7416
Orange,2020-02-10 00:00:00,1.7550
Orange,2020-02-11 00:00:00,1.7806
Orange,2020-02-12 00:00:00,1.7950
Orange,2020-02-13 00:00:00,1.8193
Orange,2020-02-14 00:00:00,1.8513
Orange,2020-02-15 00:00:00,1.8637
Orange,2020-02-16 00:00:00,1.8996
Orange,2020-02-17 00:00:00,1.9199
Orange,2020-02-18 00:00:00,1.9353
Orange,2020-02-19 00:00:00,1.9573
Orange,2020-02-20 00:00:00,1.9892
Orange,2020-02-21 00:00:00,2.0109
Orange,2020-02-22 00:00:00,2.0413
Orange,2020-02-23 00:00:00,2.0514
Orange,2020-02-24 00:00:00,2.0767
Orange,2020-02-25 00:00:00,2.0952
Orange,2020-02-26 00:00:00,2.1158
Orange,2020-02-27 00:00:00,2.1315
Orange,2020-02-28 00:00:00,2.1343
Orange,2020-02-29 00:00:00,2.1323
Orange,2020-03-01 00:00:00,2.1286
Orange,2020-03-02 00:00:00,2.1135
Orange,2020-03-03 00:00:00,2.1187
Orange,2020-03-04 00:00:00,2.1086
Orange,2020-03-05 00:00:00,2.0880
Orange,2020-03-06 00:00:00,2.0717
Orange,2020-03-07 00:00:00,2.0418
Orange,2020-03-08 00:00:00,1.9964
Orange,2020-03-09 00:00:00,1.9639
Orange,2020-03-10 00:00:00,1.9199
Orange,2020-03-11 00:00:00,1.8655
Orange,2020-03-12 00:00:00,1.8104
Orange,2020-03-13 00:00:00,1.7671
Orange,2020-03-14 00:00:00,1.7077
Orange,2020-03-15 00:00:00,1.6446
Orange,2020-03-16 00:00:00,1.5976
Orange,2020-03-17 00:00:00,1.5507
Orange,2020-03-18 00:00:00,1.4980
Orange,2020-03-19 00:00:00,1.4495
Orange,2020-03-20 00:00:00,1.4011
Orange,2020-03-21 00:00:00,1.3561
Orange,2020-03-22 00:00:00,1.3211
Orange,2020-03-23 00:00:00,1.2823
Orange,2020-03-24 00:00:00,1.2489
Orange,2020-03-25 00:00:00,1.2216
Orange,2020-03-26 00:00:00,1.1935
Orange,2020-03-27 00:00:00,1.1761
Orange,2020-03-28 00:00:00,1.1530
Orange,2020-03-29 00:00:00,1.1351
Orange,2020-03-30 00:00:00,1.1227
Orange,2020-03-31 00:00:00,1.1070
Orange,2020-04-01 00:00:00,1.0995
Orange,2020-04-02 00:00:00,1.0934
Orange,2020-04-03 00:00:00,1.0879
Orange,2020-04-04 00:00:00,1.0789
Orange,2020-04-05 00:00:00,1.0786
Orange,2020-04-06 00:00:00,1.0746
Orange,2020-04-07 00:00:00,1.0738
Orange,2020-04-08 00:00:00,1.0731
Orange,2020-04-09 00:00:00,1.0728
Orange,2020-04-10 00:00:00,1.0714
Orange,2020-04-11 00:00:00,1.0695
Orange,2020-04-12 00:00:00,1.0736
Orange,2020-04-13 00:00:00,1.0753
Orange,2020-04-14 00:00:00,1.0783
Orange,2020-04-15 00:00:00,1.0766
Orange,2020-04-16 00:00:00,1.0796
Orange,2020-04-17 00:00:00,1.0806
Orange,2020-04-18 00:00:00,1.0776
Orange,2020-04-19 00:00:00,1.0779
Orange,2020-04-20 00:00:00,1.0779
Orange,2020-04-21 00:00:00,1.0856
Orange,2020-04-22 00:00:00,1.0829
Orange,2020-04-23 00:00:00,1.0788
Orange,2020-04-24 00:00:00,1.0754
Orange,2020-04-25 00:00:00,1.0692
Orange,2020-04-26 00:00:00,1.0691
Orange,2020-04-27 00:00:00,1.0591
Orange,2020-04-28 00:00:00,1.0567
Orange,2020-04-29 00:00:00,1.0581
Orange,2020-04-30 00:00:00,1.0509
Orange,2020-05-01 00:00:00,1.0506
Orange,2020-05-02 00:00:00,1.0491
Orange,2020-05-03 00:00:00,1.0486
Orange,2020-05-04 00:00:00,1.0417
Orange,2020-05-05 00:00:00,1.0417
Orange,2020-05-06 00:00:00,1.0443
Orange,2020-05-07 00:00:00,1.0469
Orange,2020-05-08 00:00:00,1.0452
Orange,2020-05-09 00:00:00,1.0453
Orange,2020-05-10 00:00:00,1.0414
Orange,2020-05-11 00:00:00,1.0468
Orange,2020-05-12 00:00:00,1.0462
Orange,2020-05-13 00:00:00,1.0454
Orange,2020-05-14 00:00:00,1.0492
Orange,2020-05-15 00:00:00,1.0508
Orange,2020-05-16 00:00:00,1.0516
Orange,2020-05-17 00:00:00,1.0520
Orange,2020-05-18 00:00:00,1.0531
Orange,2020-05-19 00:00:00,1.0636
Orange,2020-05-20 00:00:00,1.0674
Orange,2020-05-21 00:00:00,1.0729
Orange,2020-05-22 00:00:00,1.0795
Orange,2020-05-23 00:00:00,1.0889
Orange,2020-05-24 00:00:00,1.0951
Orange,2020-05-25 00:00:00,1.1021
Orange,2020-05-26 00:00:00,1.1104
Orange,2020-05-27 00:00:00,1.1138
Orange,2020-05-28 00:00:00,1.1204
Orange,2020-05-29 00:00:00,1.1272
Orange,2020-05-30 00:00:00,1.1513
Orange,2020-05-31 00:00:00,1.1611
Orange,2020-06-01 00:00:00,1.1671
Orange,2020-06-02 00:00:00,1.1792
Orange,2020-06-03 00:00:00,1.1865
Orange,2020-06-04 00:00:00,1.1986
Orange,2020-06-05 00:00:00,1.2076
Orange,2020-06-06 00:00:00,1.2114
Orange,2020-06-07 00:00:00,1.2184
Orange,2020-06-08 00:00:00,1.2286
Orange,2020-06-09 00:00:00,1.2257
Orange,2020-06-10 00:00:00,1.2299
Orange,2020-06-11 00:00:00,1.2244
Orange,2020-06-12 00:00:00,1.2190
Orange,2020-06-13 00:00:00,1.2195
Orange,2020-06-14 00:00:00,1.2169
Orange,2020-06-15 00:00:00,1.2047
Orange,2020-06-16 00:00:00,1.1979
Orange,2020-06-17 00:00:00,1.1745
Orange,2020-06-18 00:00:00,1.1697
Orange,2020-06-19 00:00:00,1.1548
Orange,2020-06-20 00:00:00,1.1358
Orange,2020-06-21 00:00:00,1.1278
Orange,2020-06-22 00:00:00,1.1057
Orange,2020-06-23 00:00:00,1.0900
Orange,2020-06-24 00:00:00,1.0713
Orange,2020-06-25 00:00:00,1.0580
Orange,2020-06-26 00:00:00,1.0414
Orange,2020-06-27 00:00:00,1.0241
Orange,2020-06-28 00:00:00,1.0131
Orange,2020-06-29 00:00:00,1.0059
Orange,2020-06-30 00:00:00,0.9889
Orange,2020-07-01 00:00:00,0.9774
Orange,2020-07-02 00:00:00,0.9662
Orange,2020-07-03 00:00:00,0.9545
Orange,2020-07-04 00:00:00,0.9436
Orange,2020-07-05 00:00:00,0.9396
Orange,2020-07-06 00:00:00,0.9352
Orange,2020-07-07 00:00:00,0.9246
Orange,2020-07-08 00:00:00,0.9204
Orange,2020-07-09 00:00:00,0.9146
Orange,2020-07-10 00:00:00,0.9112
Orange,2020-07-11 00:00:00,0.9066
Orange,2020-07-12 00:00:00,0.9100
Orange,2020-07-13 00:00:00,0.9084
Orange,2020-07-14 00:00:00,0.9096
Orange,2020-07-15 00:00:00,0.9121
Orange,2020-07-16 00:00:00,0.9100
Orange,2020-07-17 00:00:00,0.9108
Orange,2020-07-18 00:00:00,0.9121
Orange,2020-07-19 00:00:00,0.9150
Orange,2020-07-20 00:00:00,0.9161
Orange,2020-07-21 00:00:00,0.9183
Orange,2020-07-22 00:00:00,0.9236
Orange,2020-07-23 00:00:00,0.9228
Orange,2020-07-24 00:00:00,0.9220
Orange,2020-07-25 00:00:00,0.9218
Orange,2020-07-26 00:00:00,0.9252
Orange,2020-07-27 00:00:00,0.9233
Orange,2020-07-28 00:00:00,0.9200
Orange,2020-07-29 00:00:00,0.9196
Orange,2020-07-30 00:00:00,0.9165
Orange,2020-07-31 00:00:00,0.9176
Orange,2020-08-01 00:00:00,0.9130
Orange,2020-08-02 00:00:00,0.9100
Orange,2020-08-03 00:00:00,0.9071
Orange,2020-08-04 00:00:00,0.9124
Orange,2020-08-05 00:00:00,0.9065
Orange,2020-08-06 00:00:00,0.9078
Orange,2020-08-07 00:00:00,0.9077
Orange,2020-08-08 00:00:00,0.9073
Orange,2020-08-09 00:00:00,0.9021
Orange,2020-08-10 00:00:00,0.8984
Orange,2020-08-11 00:00:00,0.8933
Orange,2020-08-12 00:00:00,0.8948
Orange,2020-08-13 00:00:00,0.8925
Orange,2020-08-14 00:00:00,0.8897
Orange,2020-08-15 00:00:00,0.8846
Orange,2020-08-16 00:00:00,0.8788
Orange,2020-08-17 00:00:00,0.8777
Orange,2020-08-18 00:00:00,0.8756
Orange,2020-08-19 00:00:00,0.8752
Orange,2020-08-20 00:00:00,0.8764
Orange,2020-08-21 00:00:00,0.8771
Orange,2020-08-22 00:00:00,0.8731
Orange,2020-08-23 00:00:00,0.8755
Orange,2020-08-24 00:00:00,0.8776
Orange,2020-08-25 00:00:00,0.8754
Orange,2020-08-26 00:00:00,0.8788
Orange,2020-08-27 00:00:00,0.8824
Orange,2020-08-28 00:00:00,0.8836
Orange,2020-08-29 00:00:00,0.8880
Orange,2020-08-30 00:00:00,0.8900
Orange,2020-08-31 00:00:00,0.8974
Orange,2020-09-01 00:00:00,0.9070
Orange,2020-09-02 00:00:00,0.9109
Orange,2020-09-03 00:00:00,0.9184
Orange,2020-09-04 00:00:00,0.9238
Orange,2020-09-05 00:00:00,0.9283
Orange,2020-09-06 00:00:00,0.9346
Orange,2020-09-07 00:00:00,0.9435
Orange,2020-09-08 00:00:00,0.9468
Orange,2020-09-09 00:00:00,0.9450
Orange,2020-09-10 00:00:00,0.9472
Orange,2020-09-11 00:00:00,0.9537
Orange,2020-09-12 00:00:00,0.9611
Orange,2020-09-13 00:00:00,0.9668
